team,year,name,id
new-orleans-pelicans,2018,Christian Wood,18218
new-orleans-pelicans,2018,Frank Jackson,23626
new-orleans-pelicans,2018,Kenrich Williams,27758
new-orleans-pelicans,2018,Dairis Bertans,28725
new-york-knicks,2018,DeAndre Jordan,6117
new-york-knicks,2018,Lance Thomas,8713
new-york-knicks,2018,Mario Hezonja,17833
new-york-knicks,2018,Emmanuel Mudiay,17835
new-york-knicks,2018,Frank Ntilikina,23603
new-york-knicks,2018,Dennis Smith Jr.,23604
new-york-knicks,2018,Kevin Knox,26975
new-york-knicks,2018,Allonzo Trier,27606
new-york-knicks,2018,Luke Kornet,23670
new-york-knicks,2018,Noah Vonleh,15361
new-york-knicks,2018,Mitchell Robinson,27002
new-york-knicks,2018,Damyean Dotson,23645
new-york-knicks,2018,John Jenkins,10848
new-york-knicks,2018,Henry Ellenson,20223
new-york-knicks,2018,Billy Garrett,28088
oklahoma-city-thunder,2018,Russell Westbrook,6141
oklahoma-city-thunder,2018,Paul George,6892
oklahoma-city-thunder,2018,Steven Adams,13325
oklahoma-city-thunder,2018,Dennis Schr̦der,13330
oklahoma-city-thunder,2018,Andre Roberson,13339
oklahoma-city-thunder,2018,Jerami Grant,15391
oklahoma-city-thunder,2018,Patrick Patterson,6896
oklahoma-city-thunder,2018,Terrance Ferguson,23616
oklahoma-city-thunder,2018,Nerlens Noel,13319
oklahoma-city-thunder,2018,Raymond Felton,2229
oklahoma-city-thunder,2018,Abdel Nader,20264
oklahoma-city-thunder,2018,Hamidou Diallo,27011
oklahoma-city-thunder,2018,Markieff Morris,8064
oklahoma-city-thunder,2018,Deonte Burton,28767
oklahoma-city-thunder,2018,Jawun Evans,23634
orlando-magic,2018,Aaron Gordon,15356
orlando-magic,2018,Evan Fournier,10845
orlando-magic,2018,Timofey Mozgov,7118
orlando-magic,2018,Nikola Vucevic,8067
orlando-magic,2018,Terrence Ross,10816
orlando-magic,2018,Markelle Fultz,23596
orlando-magic,2018,D.J. Augustin,6088
orlando-magic,2018,Jonathan Isaac,23601
orlando-magic,2018,Mohamed Bamba,26972
orlando-magic,2018,Jerian Grant,17847
orlando-magic,2018,Jarell Martin,17853
